address,adult_use,phone,id,city,name,website,lng,lat,tribe_name,tribally_owned,municipal,medical,date_added
"1142 County Rd. E E
Vadnais Heights, MN 55110",True,(612) 460-0783,recOlCUvLtvJfqqc1,Vadnais Heights,Huff & Puff Dispensary,https://huffandpuffdispensarymn.com/,-93.0527646,45.05005868526503,,,,,2026-07-15
"499 Arrowhead Ln.
Moose Lake, MN 55767",True,(218) 460-6916,recz74RnsgQD1ruiI,Moose Lake,HWS Cannabis Company,https://hwshemp.life/,-92.7610262423282,46.454811806277256,,,,,2026-07-15
"250 S. 2nd Av. Unit 245A
Minneapolis, MN 55401",True,(612) 541-2794,recdA6c0hA44yjpUm,Minneapolis,In-Dispensary,https://in-dispensary.com/,-93.26627886,44.98052744750656,,,,,2026-07-15
"1420 Bois Forte Rd. 
Tower, MN 55790",True,(218) 696-1060,recjNA0GwtJErVjwT,Tower,Ishkode Dispensary,https://ish-kode.com/?fbclid=IwY2xjawL5v_ZleHRuA2FlbQIxMABicmlkETF1OXhVbFA3S293SHE5c3B3AR4smehGey5evTMA66wJFTDOPkzJ6bnqUMzBBKiQt7d8g17YDbtvPcde4ziMeQ_aem_y_OC58SjVQmLQO0uyQp3Fw,-92.34168667841344,47.82049490622633,Bois Forte Band of Chippewa,True,,,2026-07-15
"6030 Sturgeon Lake Rd.
Welch, MN 55089",True,(651) 327-2239,recH34Y0iREI3GN0M,Welch,Island Pězi ,https://www.islandpezi.com/,-92.654961,44.629866,Prairie Island Indian Community,True,,,2026-07-15
"1570 Hwy. 14 61 E
La Crescent, MN 55947",True,(507) 888-0420,recUlc3UqSMwC55iV,La Crescent,La Canna,https://lacanna.co/,-91.2755270288362,43.81879658366661,,,,,2026-07-15
"502 Mainstreet
Hopkins, MN 55343",True,(952) 855-7603,recZfCHl151N7zNWh,Hopkins,Lake Daze Dispensary,https://lakedaze.com/,-93.40645389325418,44.92443051997435,,,,,2026-07-15
"699 Lucky Trail
Hinckley, MN 55037",True,320-280-7361,recQuCQCw5LM92eJ9,Hinckley,Lake Leaf Dispensary,https://lakeleafretail.com/,-92.897541,46.007576,Mille Lacs Band of Ojibwe,True,,,2026-07-15
"810 Hwy. 47
Isle, MN 56342",True,(320) 738-0822,recCVvEne4w9e2oYc,Isle,Lake Leaf Dispensary,https://lakeleafretail.com/,-93.4590115263662,46.138900049971305,Mille Lacs Band of Ojibwe,True,,,2026-07-15
"16420 Ataage Dr.
Onamia, MN 56359",True,(320) 738-0822,recJsXKFw0n8XMf7U,Onamia,Lake Leaf Dispensary ,https://lakeleafretail.com/,-93.757437,46.182407,Mille Lacs Band of Ojibwe,True,,,2026-07-15
"3263 Nw. Fishery Rd.
Baudette, MN 56623",True,,recQgymmOO14o8wy9,Baudette,Lake of the Woods Cannabis Co.,https://lowcanco.com/,-94.71011733074668,48.832947179137385,,,,,2026-07-15
"1019 W. Central Entrance
Duluth, MN 55811",True,(218) 830-0505,recbIGt3ce59dlwzX,Duluth,Lake Superior Dispensary,https://www.lakesuperiordispensary.org/,-92.1509123288359,46.80407302432057,,,,,2026-07-15
"1906 W. Superior St.
Duluth, MN 55806",True,(218) 720-0747,recQzsqguqZcxWbZT,Duluth,Legacy Cannabis,https://legacycannabismn.com/,-92.12188023332344,46.76873295247618,,,,,2026-07-15
"2930 S. Lyndale Av.
Minneapolis, MN 55408",True,(612) 418-1050,recPzUmr1gRcwkCoO,Minneapolis,Legacy Cannabis,https://legacycannabismn.com/,-93.28836891534188,44.94913766348463,,,,,2026-07-15
"9891 Hudson Pl. #100
Woodbury, MN 55125",True,(651) 421-4088,recEoYXjRubjOypGU,Woodbury,Legacy Cannabis,https://legacycannabismn.com/,-92.90681807791228,44.94472514401138,,,,,2026-07-15
"16000 Cedar Ave, Lakeville, MN 55068",True,(952) 236-0638,recImE7pYqr4V0PZh,Lakeville,Legit Cannabis,https://mnlegitcannabis.com/,-93.2167888976632,44.719489748135295,,,,,2026-07-15
"14029 Nw. Round Lake Blvd.
Andover, MN 55304",True,(763) 270-5678,recnH6pJGAaiEDtPt,Andover,Litt Dispensary,https://www.littdispensaries.com/,-93.3565143576716,45.22579602097551,,,,,2026-07-15
"8700 Ne. University Av.
Blaine MN 55434",True,(763) 215-8828,recnJwyEL2Eg2ygMw,Blaine,Loon Leaf,https://loonleafmn.com/,-93.26613390674537,45.1307693432001,,,,True,2026-07-15
"201 Nw. 4th St. Suite 109
Grand Rapids, MN 55744",True,(763) 286-2907,recunkUu8MuBHOWW9,Grand Rapids,Loonatixz Genetixz Dispensary & Nursery,https://www.loonatixz.com/,-93.53112752883506,47.23675972170521,,,,,2026-07-15
"151 NW Silver Lake Rd.
New Brighton, MN 55112",True,651-424-6788,reco2pVZhx578mBjY,New Brighton,Lucky Strains,https://www.luckystrains.gives/,-93.21741063558224,45.05119420175155,,,,,2026-07-15
"5491 Adams St. Suite 100
Mounds View, MN 55112",True,(612) 470-8288,rec6PKGnRo6Oi8tIR,Mounds View,Marawanna,https://marawanna.org/,-93.19743127116408,45.10750716323946,,,,,2026-07-15
"1900 80th St. 
Victoria, MN 55386",True,(952) 443-3242,rechxMQv9W1zJobEg,Victoria,Minne Organix,https://shop.minneorganix.com/rec/menu,-93.66546054417536,44.85955485154899,,,,,2026-07-15
"5125 Edina Industrial Blvd. Suite 300
Edina, MN 55439",True,(952) 444-4420,recuYoXgqXFS3PXjk,Edina,Minnesota Canna,https://minnesotacanna.com/,-93.35408466348218,44.86406616518058,,,,,2026-07-15
"1331 Nw. 105th St.
Rice, MN 56367",True,(320) 393-4713,recU9v37Dz9AaWaum,Rice,MN Grass Hero Recreational Dispensary,https://mngrasshero.com/,-94.1923039,45.721668641219246,,,,,2026-07-15
"209 Nokomis St.
Alexandria, MN 56308",True,(320) 219-6094,rec8rrn5VLPVp8gW5,Alexandria,MN Roots,https://www.shopmnroots.com/,-95.36604582208798,45.89022555768808,,,,,2026-07-15
"34443 County Rd. 3
Crosslake, MN 56442",True,(218) 692-9333,recbec6JVX6VQ8qcz,Crosslake,MN Roots,https://www.shopmnroots.com/,-94.1153004644176,46.65260446576802,,,,,2026-07-15
"34212 Hwy. 371
Jenkins, MN 56472",True,(218) 568-1061,recrjWTJq4nBnZE2s,Jenkins,MN Roots ,https://www.shopmnroots.com/,-94.33615279325278,46.64926157137283,,,,,2026-07-15
"396 Schilling Dr. Suite 400
Dundas, MN 55019",True,(507) 301-3018,rectXqzKtAffupHF8,Dundas,MN THC Co.,https://mnthc.co/dundas/,-93.20017044126404,44.43966322320736,,,,,2026-07-15
"16085 Buck Hill Rd.
Lakeville MN 55044",True,(952) 388-1036,recwf9fE0P0WX8yvk,Lakeville,MN THC Co.,https://mnthc.co/lakeville/,-93.28631542882644,44.71756789999369,,,,,2026-07-15
"608 Snelling Av.
St. Paul, MN 55116",True,(763) 910-8181,rechgOKiQTNGpoYIi,St. Paul,MnLooN Dispensary,https://themnloon.com/,-93.16656285092516,44.92332161647806,,,,,2026-07-15
"2801 S. Lyndale Av.
Minneapolis, MN 55408",True,(612) 870-2787,recXeLrp3AgSsAkFi,Minneapolis,MnLooN Recreational Cannabis Dispensary,https://themnloon.com/,-93.28773324232878,44.95192746688147,,,,,2026-07-15
"24400 Hwy. 1
Red Lake, MN 56671",True,(218) 679-4280,rec5KU6aBLvkh2waW,Red Lake,NativeCare,https://www.nativecare.com/,-95.022224,47.876423,Red Lake Band of Chippewa,True,,,2026-07-15
"20765 E. Center St.
Thief River Falls, MN 56701",True,(218) 653-1980,receUJcdrYA82IyRv,Thief River Falls,NativeCare,https://www.nativecare.com/,-96.03374930859292,48.01976870633887,Red Lake Band of Chippewa,True,,,2026-07-15
"2067 S. Robert St.
West St. Paul, MN 55118",True,(763) 292-5723,recoSOmG4grmjInQn,West St. Paul,NativeCare,https://www.nativecare.com/,-93.08324325396632,44.885335118543175,Red Lake Band of Chippewa,True,,,2026-07-15
"2033 W. Superior St.
Duluth, MN 55806",True,(218) 481-7724,recvXshIUiAUGv0Vx,Duluth,North Shore Dispensary,https://northshoredispensary.com/,-92.12459126060703,46.76741064575028,,,,,2026-07-15
"108 E. Main St. #400
Isanti, MN 55040",True,(763) 452-0167,recz08GyEbNdLwUjy,Isanti,Northern Crown Cannabis,https://northerncrowncannabis.com/,-93.2450231,45.49049682746956,,,,,2026-07-15
"1982 Rainbow St.
Mora, MN 55051",True,(320) 481-0313,rec7UXpUGwAFJbivr,Mora,Northern Illusion Dispensary,https://northernillusiondispensary.com/,-93.1623723576718,45.87277664513832,,,,,2026-07-15
"700 E. Norway Dr. #105
Annandale, MN 55302",True,(320) 261-5183,recKhpbNPRODsNj5H,Annandale,O'Buds,https://obudsmn.com/,-94.1113779153436,45.258771474435946,,,,,2026-07-15
"39365 County Rd. 24
Morton, MN 56270",True,(507) 778-5009,rec43ML7D0pqptQXP,Morton,Off The Path Cannabis Dispensary,https://offthepathcannabis.com/,-95.002453,44.529783,Lower Sioux Indian Community,True,,,2026-07-15
"112 W. Main St.
Pipestone, MN 56164",True,(507) 215-8885,reccMoU3jtJcBy939,Pipestone,Pipestone Recreational Dispensary,https://pipestonedispo.com/,-96.31843031534108,44.00031801177504,,,,,2026-07-15
"4528 S. France Av.
Edina, MN 55410",True,(651) 661-6262,recAErXLDHc5EEURR,Edina,Pot Mama's Boutique Dispensary,https://www.pot-mamas.com/,-93.32947292883544,44.92100642397836,,,,,2026-07-15
"1155 Centre Pointe Dr. Suite 6
Mendota Heights, MN 55120",True,(651) 661-6262,rec1m2Enf1g2y64Ti,Mendota Heights,Pot Mama's Boutique Dispensary,https://www.pot-mamas.com/,-93.15011427116455,44.88182914876328,,,,,2026-07-15
"162 N. Dale St.
St. Paul, MN 55102",True,(612) 354-2037,recQTVkLDeWc1VXDi,St. Paul,Really Dope,https://www.really-dope.com/,-93.12607705767046,44.94646374794831,,,,,2026-07-15
"14091 Baxter Dr. Suite 108
Baxter, MN 56425",True,(218) 421-6350,recfUqyAhLck2DvKA,Baxter,Rise Dispensary,https://risecannabis.com/dispensaries/minnesota/baxter/5205/medical-menu/,-94.227151,46.355719,,,,True,2026-07-15
"8016 Brooklyn Blvd.
Brooklyn Park, MN 55445",True,(763) 317-6762,recEkBefvFGfNv7Ot,Brooklyn Park,Rise Dispensary,https://risecannabis.com/dispensaries/minnesota/brooklyn-park/6121/medical-menu/,-93.37855,45.094971,,,,True,2026-07-15
"1340 Town Centre Dr.
Eagan, MN 55123",True,(651) 846-9245,recaP3Aa0Gos6Zvmj,Eagan,Rise Dispensary,https://risecannabis.com/dispensaries/minnesota/eagan/4635/medical-menu/,-93.163484,44.831027,,,,True,2026-07-15
"201 Sioux Rd., Suite 100
Mankato, MN 56001",True,(507) 405-0369,recixMFmk2WfHT5Cd,Mankato,Rise Dispensary,https://risecannabis.com/dispensaries/minnesota/mankato/4631/medical-menu/,-93.951661,44.169323,,,,True,2026-07-15
"7700 N. 42nd Av. Suite A
New Hope, MN 55427",True,(763) 237-5107,rec2U2rL00WZSRRa7,New Hope,Rise Dispensary,https://risecannabis.com/dispensaries/minnesota/new-hope/5268/medical-menu/,-93.378398,45.033178,,,,True,2026-07-15
"3800 N. 3rd St. Suite 306
St. Cloud, MN 55412",True,(320) 443-6250,recSbxkNRZCqefClO,St. Cloud,Rise Dispensary,https://risecannabis.com/dispensaries/minnesota/st-cloud/4633/medical-menu/,-94.205008,45.558044,,,,True,2026-07-15
"2239 Ford Pkwy.
St. Paul 55116",True,(651) 313-6733,reczvX3worB7mpBdS,St. Paul,Rise Dispensary,https://risecannabis.com/dispensaries/minnesota/st-paul/,-93.195122,44.918253,,,,True,2026-07-15
"1413 S. 1st St.
Willmar, MN 56201",True,(320) 208-9081,recoD6YN5JS6UTL7f,Willmar,Rise Dispensary,https://risecannabis.com/dispensaries/minnesota/willmar/,-95.042219,45.108005,,,,True,2026-07-15
"2223 Hwy. 10
Moorhead, MN 56560",True,(701) 866-3184,rec1Ym4PuIXZCIsIZ,Moorhead,Rosebuds Cannabis Company,https://rosebudscannabiscompany.com/,-96.744461,46.87526712020968,,,,,2026-07-15
"1778 S. Greeley St. 
Stillwater, Minnesota 55082",True,(651) 342-2412,recv1f5PYAXtkuZM2,Stillwater,Silver Therapeutics,https://silver-therapeutics.com/location/medical-and-recreational-cannabis-dispensary-in-stillwater-silver-cannabis/,-92.8216096423282,45.040541211996334,,,,True,2026-07-15
"415 S. Broadway St. 
Jordan, MN 55352",True,(952) 417-6133,reccaNPzH18BHm16F,Jordan,Strains of the Earth,https://strainsoftheearth.com/,-93.62573753299326,44.66358600654342,,,,,2026-07-15
"605 Nw. Elm Av.
Cass Lake, MN 56633",True,(218) 547-2902,recm9hHjsSopu7jfK,Cass Lake,Sweetest Grass,https://sweetestgrass.com/,-94.60424552883508,47.3833713387033,Leech Lake Band of Ojibwe,True,,,2026-07-15
"6838 Nw. Y Frontage Rd. Unit A
Walker, MN 56484",True,(218) 547-2902,reczJY0Da8ensoGzM,Walker,Sweetest Grass,https://sweetestgrass.com/,-94.540806,47.05383,Leech Lake Band of Ojibwe,True,,,2026-07-15
"905 N. Washington Av.
Minneapolis, MN 55401",True,(612) 688-9333,recck1C5AiqvAcMHA,Minneapolis,Sweetleaves,https://sweetleavesnorthloop.com/,-93.28013859325314,44.98987084957088,,,,True,2026-07-15
"12246 Ne. 42nd St. 
St. Michael, MN 55376",True,(763) 267-7834,recG0hFwcxKwGRZUB,St. Michael,The Cannabis Co. ,https://thecannabisco.us/,-93.63993592883614,45.21219740713797,,,,,2026-07-15
"508 S. Lake St.
Forest Lake, MN 55025",True,(651) 417-7500,recBnuhBSbo48EBqE,Forest Lake,The Greenhouse Cannabis Co.,https://www.forestlakedispensary.com/,-92.98434932883583,45.27360297850459,,,,,2026-07-15
"508 S. Lake St.
Forest Lake, MN 55025",True,(651) 417-7500,rec0JJiLzr6hOQxEz,Forest Lake,The Greenhouse Cannabis Co.,https://www.forestlakedispensary.com/,-92.9843600576716,45.2735878782647,,,,,2026-07-15
"3496 Shoreline Dr.
Wayzata, MN 55391",True,(855) 995-6468,rec3OJDRaGZjUlM8G,Wayzata,The Joint Dispensary,https://thejointdispensary.com/,-93.6120314,44.93511058323821,,,,True,2026-07-15
"1599 County Rd E E
White Bear Lake, MN 55110",True,(612) 469-7688,recKtmtlGOb5OIJMY,White Bear Lake,The Lakes Dispensary ,https://thelakesdispensary.com/,-93.03325084540008,45.05072828579854,,,,,2026-07-15
"1220 W. 4th St.
Rush City, MN 55069",True,(320) 566-1222,reccAYH4eH8tOqlAp,Rush City,The Stash & Co.,https://thestashnco.com/,-92.9818835932542,45.68409994947291,,,,,2026-07-15
"17951 Hwy. 371
Brainerd, MN 56401",True,(218) 414-9268,recMg8NeKWe5Zcui0,Brainerd,Trailhead Cannabis Company,https://trailheadmn.com/,-94.28683139325396,46.41214213092202,,,,,2026-07-15
"79 W. 3rd St.
Winona, MN 55987",True,(507) 458-6716,recuXlap1GxUSeWcE,Winona,Tranquil Gardens Dispensary ,https://www.tranquilgardensdispensary.com/,-91.63772302883632,44.05274613693143,,,,True,2026-07-15
"6625 S. Penn Av.
Richfield, MN 55423",True,(612) 207-9794,recfmcZOF4Ftz3uZP,Richfield,Twin Cities Cannabis,https://twincitiescanna.com/,-93.3082523220877,44.88277725269084,,,,,2026-07-15
"7702 Olson Memorial Hwy.
Golden Valley, MN 55427",True,(612) 590-0563,recKi4FNQHD978Mvc,Golden Valley,Twin Cities High,https://twincitieshigh.com/,-93.37765955092794,44.984566129460575,,,,,2026-07-15
